137.220.60.111
storage is already mounted
Directory is already present
[youtube] HCOE3xBxZD4: Downloading webpage
[youtube] Downloading just video HCOE3xBxZD4 because of --no-playlist
[download] Destination: أفئدة الطير  برنامج معارج   ح9   أ وجدان العلي-HCOE3xBxZD4.mp4

[download]   0.0% of 125.23MiB at  1.03KiB/s ETA 34:33:14
[download]   0.0% of 125.23MiB at  2.09KiB/s ETA 17:01:23
[download]   0.0% of 125.23MiB at  4.19KiB/s ETA 08:29:50
[download]   0.0% of 125.23MiB at  8.40KiB/s ETA 04:14:28
[download]   0.0% of 125.23MiB at 16.82KiB/s ETA 02:07:01
[download]   0.0% of 125.23MiB at 33.66KiB/s ETA 01:03:28
[download]   0.1% of 125.23MiB at 67.30KiB/s ETA 31:44
[download]   0.1% of 125.23MiB at 117.87KiB/s ETA 18:06
[download]   0.2% of 125.23MiB at 216.29KiB/s ETA 09:51
[download]   0.4% of 125.23MiB at 360.04KiB/s ETA 05:54
[download]   0.8% of 125.23MiB at 483.04KiB/s ETA 04:23
[download]   1.4% of 125.23MiB at 528.05KiB/s ETA 03:59
[download]   1.9% of 125.23MiB at 571.02KiB/s ETA 03:40
[download]   2.5% of 125.23MiB at 484.90KiB/s ETA 04:17
[download]   2.7% of 125.23MiB at 444.20KiB/s ETA 04:40
[download]   3.0% of 125.23MiB at 430.50KiB/s ETA 04:49
[download]   3.2% of 125.23MiB at 413.47KiB/s ETA 05:00
[download]   3.4% of 125.23MiB at 393.28KiB/s ETA 05:14
[download]   3.6% of 125.23MiB at 382.71KiB/s ETA 05:23
[download]   3.8% of 125.23MiB at 374.53KiB/s ETA 05:29
[download]   4.0% of 125.23MiB at 375.08KiB/s ETA 05:28
[download]   4.3% of 125.23MiB at 376.78KiB/s ETA 05:25
[download]   4.6% of 125.23MiB at 375.78KiB/s ETA 05:25
[download]   4.9% of 125.23MiB at 373.31KiB/s ETA 05:26
[download]   5.1% of 125.23MiB at 371.81KiB/s ETA 05:27
[download]   5.4% of 125.23MiB at 369.75KiB/s ETA 05:28
[download]   5.7% of 125.23MiB at 364.98KiB/s ETA 05:31
[download]   5.9% of 125.23MiB at 366.77KiB/s ETA 05:28
[download]   6.2% of 125.23MiB at 376.30KiB/s ETA 05:19
[download]   6.8% of 125.23MiB at 391.96KiB/s ETA 05:04
[download]   7.4% of 125.23MiB at 405.40KiB/s ETA 04:53
[download]   7.9% of 125.23MiB at 421.46KiB/s ETA 04:40
[download]   8.6% of 125.23MiB at 439.94KiB/s ETA 04:26
[download]   9.3% of 125.23MiB at 456.85KiB/s ETA 04:14
[download]  10.0% of 125.23MiB at 470.52KiB/s ETA 04:05
[download]  10.6% of 125.23MiB at 483.82KiB/s ETA 03:56
[download]  11.3% of 125.23MiB at 496.13KiB/s ETA 03:49
[download]  11.9% of 125.23MiB at 505.44KiB/s ETA 03:43
[download]  12.5% of 125.23MiB at 516.35KiB/s ETA 03:37
[download]  13.2% of 125.23MiB at 531.57KiB/s ETA 03:29
[download]  14.1% of 125.23MiB at 545.46KiB/s ETA 03:21
[download]  14.8% of 125.23MiB at 553.69KiB/s ETA 03:17
[download]  15.4% of 125.23MiB at 564.70KiB/s ETA 03:12
[download]  16.3% of 125.23MiB at 571.30KiB/s ETA 03:07
[download]  16.8% of 125.23MiB at 572.28KiB/s ETA 03:06
[download]  17.3% of 125.23MiB at 575.94KiB/s ETA 03:04
[download]  17.9% of 125.23MiB at 583.09KiB/s ETA 03:00
[download]  18.6% of 125.23MiB at 590.36KiB/s ETA 02:56
[download]  19.3% of 125.23MiB at 596.60KiB/s ETA 02:53
[download]  19.9% of 125.23MiB at 606.50KiB/s ETA 02:49
[download]  20.9% of 125.23MiB at 625.77KiB/s ETA 02:42
[download]  22.4% of 125.23MiB at 660.36KiB/s ETA 02:30
[download]  24.4% of 125.23MiB at 703.77KiB/s ETA 02:17
[download]  26.7% of 125.23MiB at 756.70KiB/s ETA 02:04
[download]  29.6% of 125.23MiB at 811.92KiB/s ETA 01:51
[download]  31.5% of 125.23MiB at 837.48KiB/s ETA 01:44
[download]  32.7% of 125.23MiB at 851.64KiB/s ETA 01:41
[download]  33.9% of 125.23MiB at 859.91KiB/s ETA 01:38
[download]  34.8% of 125.23MiB at 860.82KiB/s ETA 01:37
[download]  35.5% of 125.23MiB at 853.71KiB/s ETA 01:36
[download]  36.0% of 125.23MiB at 848.58KiB/s ETA 01:36
[download]  36.4% of 125.23MiB at 848.31KiB/s ETA 01:36
[download]  37.1% of 125.23MiB at 845.05KiB/s ETA 01:35
[download]  37.6% of 125.23MiB at 844.98KiB/s ETA 01:34
[download]  38.3% of 125.23MiB at 841.62KiB/s ETA 01:34
[download]  38.8% of 125.23MiB at 843.10KiB/s ETA 01:33
[download]  39.6% of 125.23MiB at 844.24KiB/s ETA 01:31
[download]  40.3% of 125.23MiB at 849.68KiB/s ETA 01:30
[download]  41.3% of 125.23MiB at 864.11KiB/s ETA 01:27
[download]  43.3% of 125.23MiB at 897.35KiB/s ETA 01:21
[download]  46.5% of 125.23MiB at 948.61KiB/s ETA 01:12
[download]  49.7% of 125.23MiB at 997.99KiB/s ETA 01:04
[download]  52.9% of 125.23MiB at  1.02MiB/s ETA 00:57
[download]  56.1% of 125.23MiB at  1.07MiB/s ETA 00:51
[download]  59.0% of 125.23MiB at  1.10MiB/s ETA 00:46
[download]  61.5% of 125.23MiB at  1.13MiB/s ETA 00:42
[download]  63.4% of 125.23MiB at  1.14MiB/s ETA 00:40
[download]  64.9% of 125.23MiB at  1.15MiB/s ETA 00:38
[download]  66.1% of 125.23MiB at  1.15MiB/s ETA 00:36
[download]  67.4% of 125.23MiB at  1.16MiB/s ETA 00:35
[download]  69.1% of 125.23MiB at  1.18MiB/s ETA 00:32
[download]  71.5% of 125.23MiB at  1.20MiB/s ETA 00:29
[download]  73.2% of 125.23MiB at  1.21MiB/s ETA 00:27
[download]  74.6% of 125.23MiB at  1.21MiB/s ETA 00:26
[download]  75.8% of 125.23MiB at  1.22MiB/s ETA 00:24
[download]  77.6% of 125.23MiB at  1.23MiB/s ETA 00:22
[download]  79.0% of 125.23MiB at  1.23MiB/s ETA 00:21
[download]  80.1% of 125.23MiB at  1.24MiB/s ETA 00:20
[download]  81.2% of 125.23MiB at  1.23MiB/s ETA 00:19
[download]  81.9% of 125.23MiB at  1.22MiB/s ETA 00:18
[download]  82.4% of 125.23MiB at  1.21MiB/s ETA 00:18
[download]  83.0% of 125.23MiB at  1.20MiB/s ETA 00:17
[download]  83.4% of 125.23MiB at  1.19MiB/s ETA 00:17
[download]  83.8% of 125.23MiB at  1.18MiB/s ETA 00:17
[download]  84.1% of 125.23MiB at  1.17MiB/s ETA 00:17
[download]  84.4% of 125.23MiB at  1.16MiB/s ETA 00:16
[download]  84.6% of 125.23MiB at  1.15MiB/s ETA 00:16
[download]  84.8% of 125.23MiB at  1.14MiB/s ETA 00:16
[download]  85.0% of 125.23MiB at  1.13MiB/s ETA 00:16
[download]  85.1% of 125.23MiB at  1.12MiB/s ETA 00:16
[download]  85.5% of 125.23MiB at  1.11MiB/s ETA 00:16
[download]  85.7% of 125.23MiB at  1.11MiB/s ETA 00:16
[download]  86.0% of 125.23MiB at  1.10MiB/s ETA 00:15
[download]  86.4% of 125.23MiB at  1.10MiB/s ETA 00:15
[download]  86.8% of 125.23MiB at  1.09MiB/s ETA 00:15
[download]  87.3% of 125.23MiB at  1.09MiB/s ETA 00:14
[download]  87.8% of 125.23MiB at  1.09MiB/s ETA 00:14
[download]  88.5% of 125.23MiB at  1.08MiB/s ETA 00:13
[download]  89.1% of 125.23MiB at  1.08MiB/s ETA 00:12
[download]  89.6% of 125.23MiB at  1.07MiB/s ETA 00:12
[download]  90.2% of 125.23MiB at  1.07MiB/s ETA 00:11
[download]  90.7% of 125.23MiB at  1.06MiB/s ETA 00:10
[download]  91.1% of 125.23MiB at  1.06MiB/s ETA 00:10
[download]  91.7% of 125.23MiB at  1.05MiB/s ETA 00:09
[download]  92.1% of 125.23MiB at  1.05MiB/s ETA 00:09
[download]  92.5% of 125.23MiB at  1.04MiB/s ETA 00:09
[download]  92.7% of 125.23MiB at  1.03MiB/s ETA 00:08
[download]  93.0% of 125.23MiB at  1.03MiB/s ETA 00:08
[download]  93.3% of 125.23MiB at  1.02MiB/s ETA 00:08
[download]  93.6% of 125.23MiB at  1.02MiB/s ETA 00:07
[download]  93.9% of 125.23MiB at  1.01MiB/s ETA 00:07
[download]  94.1% of 125.23MiB at  1.01MiB/s ETA 00:07
[download]  94.6% of 125.23MiB at  1.00MiB/s ETA 00:06
