45.76.251.209
storage is already mounted
[youtube] P4SpOCK45oo: Downloading webpage
[youtube] Downloading just video P4SpOCK45oo because of --no-playlist
[download] Destination: ديوانية الشيخ السعيدي   خطر الإلحاد والتشكيك مع    الشيخ عبد الباسط قاري-P4SpOCK45oo.mp4

[download]   0.0% of 191.25MiB at 29.46KiB/s ETA 01:50:52
[download]   0.0% of 191.25MiB at 87.64KiB/s ETA 37:15
[download]   0.0% of 191.25MiB at 202.09KiB/s ETA 16:09
[download]   0.0% of 191.25MiB at 400.18KiB/s ETA 08:09
[download]   0.0% of 191.25MiB at 805.02KiB/s ETA 04:03
[download]   0.0% of 191.25MiB at  1.55MiB/s ETA 02:03
[download]   0.1% of 191.25MiB at  1.93MiB/s ETA 01:38
[download]   0.1% of 191.25MiB at  2.88MiB/s ETA 01:06
[download]   0.3% of 191.25MiB at  4.53MiB/s ETA 00:42
[download]   0.5% of 191.25MiB at  7.04MiB/s ETA 00:27
[download]   1.0% of 191.25MiB at 11.95MiB/s ETA 00:15
[download]   2.1% of 191.25MiB at  3.33MiB/s ETA 00:56
[download]   3.1% of 191.25MiB at  2.30MiB/s ETA 01:20
[download]   3.8% of 191.25MiB at  1.55MiB/s ETA 01:58
[download]   4.2% of 191.25MiB at  1.30MiB/s ETA 02:21
[download]   4.5% of 191.25MiB at  1.15MiB/s ETA 02:38
[download]   4.7% of 191.25MiB at  1.12MiB/s ETA 02:43
[download]   5.0% of 191.25MiB at  1.06MiB/s ETA 02:50
[download]   5.4% of 191.25MiB at  1.01MiB/s ETA 02:58
[download]   5.7% of 191.25MiB at  1.01MiB/s ETA 02:59
[download]   6.1% of 191.25MiB at 995.02KiB/s ETA 03:04
[download]   6.5% of 191.25MiB at 965.81KiB/s ETA 03:09
[download]   6.8% of 191.25MiB at 970.41KiB/s ETA 03:08
[download]   7.4% of 191.25MiB at 990.45KiB/s ETA 03:03
[download]   8.1% of 191.25MiB at 998.09KiB/s ETA 03:00
[download]   8.6% of 191.25MiB at 976.59KiB/s ETA 03:03
[download]   9.0% of 191.25MiB at 962.16KiB/s ETA 03:05
[download]   9.4% of 191.25MiB at 948.16KiB/s ETA 03:07
[download]   9.7% of 191.25MiB at 943.93KiB/s ETA 03:07
[download]  10.2% of 191.25MiB at 942.90KiB/s ETA 03:06
[download]  10.6% of 191.25MiB at 938.28KiB/s ETA 03:06
[download]  11.1% of 191.25MiB at 951.68KiB/s ETA 03:03
[download]  11.8% of 191.25MiB at 993.82KiB/s ETA 02:53
[download]  13.3% of 191.25MiB at  1.05MiB/s ETA 02:37
[download]  15.0% of 191.25MiB at  1.15MiB/s ETA 02:21
[download]  17.0% of 191.25MiB at  1.24MiB/s ETA 02:07
[download]  18.8% of 191.25MiB at  1.34MiB/s ETA 01:56
[download]  20.9% of 191.25MiB at  1.44MiB/s ETA 01:45
[download]  22.9% of 191.25MiB at  1.53MiB/s ETA 01:36
[download]  25.0% of 191.25MiB at  1.62MiB/s ETA 01:28
[download]  27.1% of 191.25MiB at  1.68MiB/s ETA 01:23
[download]  28.7% of 191.25MiB at  1.73MiB/s ETA 01:18
[download]  30.7% of 191.25MiB at  1.80MiB/s ETA 01:13
[download]  32.8% of 191.25MiB at  1.87MiB/s ETA 01:08
[download]  34.9% of 191.25MiB at  1.93MiB/s ETA 01:04
[download]  36.8% of 191.25MiB at  1.98MiB/s ETA 01:01
[download]  38.7% of 191.25MiB at  2.02MiB/s ETA 00:57
[download]  40.6% of 191.25MiB at  2.07MiB/s ETA 00:54
[download]  42.7% of 191.25MiB at  2.10MiB/s ETA 00:52
[download]  44.2% of 191.25MiB at  2.12MiB/s ETA 00:50
[download]  45.7% of 191.25MiB at  2.15MiB/s ETA 00:48
[download]  47.6% of 191.25MiB at  2.16MiB/s ETA 00:46
[download]  49.0% of 191.25MiB at  2.17MiB/s ETA 00:44
[download]  50.2% of 191.25MiB at  2.17MiB/s ETA 00:43
[download]  51.3% of 191.25MiB at  2.19MiB/s ETA 00:42
[download]  53.4% of 191.25MiB at  2.23MiB/s ETA 00:39
[download]  55.3% of 191.25MiB at  2.24MiB/s ETA 00:38
[download]  56.8% of 191.25MiB at  2.25MiB/s ETA 00:36
[download]  58.2% of 191.25MiB at  2.26MiB/s ETA 00:35
[download]  59.7% of 191.25MiB at  2.30MiB/s ETA 00:33
[download]  61.8% of 191.25MiB at  2.33MiB/s ETA 00:31
[download]  63.9% of 191.25MiB at  2.35MiB/s ETA 00:29
[download]  65.5% of 191.25MiB at  2.36MiB/s ETA 00:27
[download]  67.0% of 191.25MiB at  2.39MiB/s ETA 00:26
[download]  69.1% of 191.25MiB at  2.45MiB/s ETA 00:24
[download]  71.2% of 191.25MiB at  2.50MiB/s ETA 00:22
[download]  73.3% of 191.25MiB at  2.55MiB/s ETA 00:20
[download]  75.4% of 191.25MiB at  2.59MiB/s ETA 00:18
[download]  77.5% of 191.25MiB at  2.63MiB/s ETA 00:16
[download]  79.6% of 191.25MiB at  2.67MiB/s ETA 00:14
[download]  81.7% of 191.25MiB at  2.70MiB/s ETA 00:12
[download]  83.8% of 191.25MiB at  2.72MiB/s ETA 00:11
[download]  85.8% of 191.25MiB at  2.73MiB/s ETA 00:09
[download]  87.5% of 191.25MiB at  2.75MiB/s ETA 00:08
[download]  89.5% of 191.25MiB at  2.76MiB/s ETA 00:07
[download]  91.3% of 191.25MiB at  2.77MiB/s ETA 00:06
[download]  93.3% of 191.25MiB at  2.78MiB/s ETA 00:04
[download]  95.0% of 191.25MiB at  2.78MiB/s ETA 00:03
[download]  96.5% of 191.25MiB at  2.78MiB/s ETA 00:02
[download]  98.0% of 191.25MiB at  2.79MiB/s ETA 00:01
[download]  99.8% of 191.25MiB at  2.78MiB/s ETA 00:00
[download] 100.0% of 191.25MiB at  2.78MiB/s ETA 00:00
[download] 100% of 191.25MiB in 01:10
137.220.60.220
storage is already mounted
Directory is already present
[youtube] 04WDRK1xgWI: Downloading webpage
[youtube] Downloading just video 04WDRK1xgWI because of --no-playlist
[download] Destination: ديوانية الشيخ السعيدي   بيت المقدس والولاء الشرعي مع  الشيخ أيمن الشعبان-04WDRK1xgWI.mp4

[download]   0.0% of 142.26MiB at 18.47KiB/s ETA 02:11:32
[download]   0.0% of 142.26MiB at 55.06KiB/s ETA 44:06
[download]   0.0% of 142.26MiB at 127.33KiB/s ETA 19:04
[download]   0.0% of 142.26MiB at 262.66KiB/s ETA 09:14
[download]   0.0% of 142.26MiB at 535.49KiB/s ETA 04:32
[download]   0.0% of 142.26MiB at  1.04MiB/s ETA 02:17
[download]   0.1% of 142.26MiB at  1.97MiB/s ETA 01:12
[download]   0.2% of 142.26MiB at  3.67MiB/s ETA 00:38
[download]   0.4% of 142.26MiB at  6.65MiB/s ETA 00:21
[download]   0.7% of 142.26MiB at 10.23MiB/s ETA 00:13
[download]   1.4% of 142.26MiB at 15.61MiB/s ETA 00:08
[download]   2.8% of 142.26MiB at  1.73MiB/s ETA 01:19
[download]   3.5% of 142.26MiB at  1.27MiB/s ETA 01:48
[download]   3.9% of 142.26MiB at  1.08MiB/s ETA 02:06
[download]   4.3% of 142.26MiB at 1011.76KiB/s ETA 02:17
[download]   4.6% of 142.26MiB at 1020.61KiB/s ETA 02:16
[download]   5.3% of 142.26MiB at 988.25KiB/s ETA 02:19
[download]   5.9% of 142.26MiB at 938.82KiB/s ETA 02:26
[download]   6.3% of 142.26MiB at 919.72KiB/s ETA 02:28
[download]   6.8% of 142.26MiB at 899.36KiB/s ETA 02:30
[download]   7.3% of 142.26MiB at 883.50KiB/s ETA 02:32
[download]   7.8% of 142.26MiB at 863.08KiB/s ETA 02:35
[download]   8.2% of 142.26MiB at 851.25KiB/s ETA 02:37
[download]   8.7% of 142.26MiB at 837.21KiB/s ETA 02:38
[download]   9.1% of 142.26MiB at 815.88KiB/s ETA 02:42
[download]   9.5% of 142.26MiB at 791.52KiB/s ETA 02:46
[download]   9.8% of 142.26MiB at 775.88KiB/s ETA 02:49
[download]  10.2% of 142.26MiB at 745.48KiB/s ETA 02:55
[download]  10.4% of 142.26MiB at 733.56KiB/s ETA 02:57
[download]  10.7% of 142.26MiB at 713.91KiB/s ETA 03:02
[download]  11.0% of 142.26MiB at 702.92KiB/s ETA 03:04
[download]  11.3% of 142.26MiB at 691.56KiB/s ETA 03:06
[download]  11.5% of 142.26MiB at 670.37KiB/s ETA 03:12
[download]  11.8% of 142.26MiB at 665.24KiB/s ETA 03:13
[download]  12.1% of 142.26MiB at 653.06KiB/s ETA 03:16
[download]  12.4% of 142.26MiB at 649.87KiB/s ETA 03:16
[download]  12.7% of 142.26MiB at 647.86KiB/s ETA 03:16
[download]  13.1% of 142.26MiB at 647.42KiB/s ETA 03:15
[download]  13.6% of 142.26MiB at 653.66KiB/s ETA 03:12
[download]  14.2% of 142.26MiB at 654.55KiB/s ETA 03:10
[download]  14.7% of 142.26MiB at 658.10KiB/s ETA 03:08
[download]  15.2% of 142.26MiB at 660.39KiB/s ETA 03:07
[download]  15.7% of 142.26MiB at 661.22KiB/s ETA 03:05
[download]  16.2% of 142.26MiB at 661.99KiB/s ETA 03:04
[download]  16.6% of 142.26MiB at 660.03KiB/s ETA 03:03
[download]  17.0% of 142.26MiB at 659.41KiB/s ETA 03:03
[download]  17.5% of 142.26MiB at 657.18KiB/s ETA 03:02
[download]  17.9% of 142.26MiB at 655.79KiB/s ETA 03:02
[download]  18.3% of 142.26MiB at 655.81KiB/s ETA 03:01
[download]  18.7% of 142.26MiB at 652.63KiB/s ETA 03:01
[download]  19.1% of 142.26MiB at 648.75KiB/s ETA 03:01
[download]  19.5% of 142.26MiB at 648.10KiB/s ETA 03:01
[download]  19.9% of 142.26MiB at 645.42KiB/s ETA 03:00
[download]  20.3% of 142.26MiB at 642.63KiB/s ETA 03:00
