137.220.61.136
storage is already mounted
Directory is already present
[youtube] yE6Lbvl8hBM: Downloading webpage
[youtube] Downloading just video yE6Lbvl8hBM because of --no-playlist
[download] Destination: لم تفرغ مياه هذه القناة منذ 200 سنة!! 'وفي 2018 لن تتخيل ماذا وجدوا أسفلها..!!-yE6Lbvl8hBM.mp4

[download]   0.0% of 29.28MiB at   34.51B/s ETA --:--:--
[download]   0.0% of 29.28MiB at   51.77B/s ETA --:--:--
[download]   0.0% of 29.28MiB at   86.28B/s ETA 98:51:02
[download]   0.0% of 29.28MiB at  154.33B/s ETA 55:15:42
[download]   0.0% of 29.28MiB at  291.05B/s ETA 29:17:56
[download]   0.1% of 29.28MiB at  564.19B/s ETA 15:06:37
[download]   0.1% of 29.28MiB at  1.08KiB/s ETA 07:42:29
[download]   0.2% of 29.28MiB at  2.13KiB/s ETA 03:54:20
[download]   0.4% of 29.28MiB at  4.21KiB/s ETA 01:58:11
[download]   0.9% of 29.28MiB at  8.22KiB/s ETA 01:00:17
[download]   1.5% of 29.28MiB at 13.65KiB/s ETA 36:04
[download]   2.0% of 29.28MiB at 17.80KiB/s ETA 27:31
[download]   2.6% of 29.28MiB at 22.28KiB/s ETA 21:51
[download]   3.1% of 29.28MiB at 25.93KiB/s ETA 18:41
[download]   3.5% of 29.28MiB at 28.94KiB/s ETA 16:39
[download]   4.0% of 29.28MiB at 32.59KiB/s ETA 14:43
[download]   5.0% of 29.28MiB at 39.61KiB/s ETA 11:59
[download]   6.1% of 29.28MiB at 47.35KiB/s ETA 09:54
[download]   7.3% of 29.28MiB at 55.04KiB/s ETA 08:25
[download]   8.7% of 29.28MiB at 64.29KiB/s ETA 07:06
[download]  10.4% of 29.28MiB at 75.25KiB/s ETA 05:56
[download]  12.0% of 29.28MiB at 84.41KiB/s ETA 05:12
[download]  13.6% of 29.28MiB at 93.08KiB/s ETA 04:38
[download]  14.9% of 29.28MiB at 99.66KiB/s ETA 04:16
[download]  16.2% of 29.28MiB at 106.32KiB/s ETA 03:56
[download]  17.5% of 29.28MiB at 112.57KiB/s ETA 03:39
[download]  19.0% of 29.28MiB at 119.73KiB/s ETA 03:22
[download]  20.6% of 29.28MiB at 128.00KiB/s ETA 03:06
[download]  22.8% of 29.28MiB at 139.30KiB/s ETA 02:46
[download]  25.5% of 29.28MiB at 151.50KiB/s ETA 02:27
[download]  27.4% of 29.28MiB at 159.20KiB/s ETA 02:16
[download]  29.2% of 29.28MiB at 166.01KiB/s ETA 02:07
[download]  30.8% of 29.28MiB at 170.98KiB/s ETA 02:01
[download]  32.0% of 29.28MiB at 175.13KiB/s ETA 01:56
[download]  33.5% of 29.28MiB at 179.68KiB/s ETA 01:50
[download]  34.9% of 29.28MiB at 183.42KiB/s ETA 01:46
[download]  36.1% of 29.28MiB at 187.70KiB/s ETA 01:42
[download]  38.0% of 29.28MiB at 193.51KiB/s ETA 01:36
[download]  39.6% of 29.28MiB at 198.23KiB/s ETA 01:31
[download]  41.2% of 29.28MiB at 202.76KiB/s ETA 01:26
[download]  42.7% of 29.28MiB at 207.35KiB/s ETA 01:22
[download]  44.5% of 29.28MiB at 211.62KiB/s ETA 01:18
[download]  45.9% of 29.28MiB at 214.65KiB/s ETA 01:15
[download]  47.2% of 29.28MiB at 217.37KiB/s ETA 01:12
[download]  48.5% of 29.28MiB at 220.11KiB/s ETA 01:10
[download]  49.8% of 29.28MiB at 223.67KiB/s ETA 01:07
[download]  51.7% of 29.28MiB at 229.04KiB/s ETA 01:03
[download]  53.9% of 29.28MiB at 234.89KiB/s ETA 00:58
[download]  55.8% of 29.28MiB at 239.64KiB/s ETA 00:55
[download]  57.7% of 29.28MiB at 239.70KiB/s ETA 00:52
[download]  58.6% of 29.28MiB at 243.50KiB/s ETA 00:51
[download]  60.4% of 29.28MiB at 248.81KiB/s ETA 00:47
[download]  63.1% of 29.28MiB at 254.32KiB/s ETA 00:43
[download]  64.8% of 29.28MiB at 257.99KiB/s ETA 00:40
[download]  66.7% of 29.28MiB at 263.03KiB/s ETA 00:38
[download]  69.4% of 29.28MiB at 271.12KiB/s ETA 00:33
[download]  72.9% of 29.28MiB at 280.02KiB/s ETA 00:29
[download]  75.7% of 29.28MiB at 287.60KiB/s ETA 00:25
[download]  78.9% of 29.28MiB at 297.04KiB/s ETA 00:21
[download]  83.1% of 29.28MiB at 308.43KiB/s ETA 00:16
[download]  86.9% of 29.28MiB at 317.63KiB/s ETA 00:12
[download]  89.9% of 29.28MiB at 326.03KiB/s ETA 00:09
[download]  94.7% of 29.28MiB at 339.05KiB/s ETA 00:04
[download]  99.1% of 29.28MiB at 350.69KiB/s ETA 00:00
[download] 100.0% of 29.28MiB at 353.36KiB/s ETA 00:00
