137.220.57.34
storage is already mounted
Directory is already present
[youtube] 09FM73Vs49o: Downloading webpage
[youtube] Downloading just video 09FM73Vs49o because of --no-playlist
[youtube] 09FM73Vs49o: Downloading MPD manifest
[download] Destination: ترتيل ،، حلقة يوم السبت 09-11-2019م-09FM73Vs49o.mp4

[download]   0.0% of 184.23MiB at  144.35B/s ETA --:--:--
[download]   0.0% of 184.23MiB at  216.50B/s ETA --:--:--
[download]   0.0% of 184.23MiB at  360.81B/s ETA --:--:--
[download]   0.0% of 184.23MiB at  646.06B/s ETA 83:03:30
[download]   0.0% of 184.23MiB at  1.18KiB/s ETA 44:20:39
[download]   0.0% of 184.23MiB at  2.28KiB/s ETA 22:59:33
[download]   0.0% of 184.23MiB at  4.46KiB/s ETA 11:45:28
[download]   0.0% of 184.23MiB at  8.79KiB/s ETA 05:57:36
[download]   0.1% of 184.23MiB at 17.33KiB/s ETA 03:01:17
[download]   0.1% of 184.23MiB at 33.82KiB/s ETA 01:32:50
[download]   0.3% of 184.23MiB at 64.79KiB/s ETA 48:23
[download]   0.5% of 184.23MiB at 121.80KiB/s ETA 25:40
[download]   1.1% of 184.23MiB at 215.46KiB/s ETA 14:26
[download]   1.6% of 184.23MiB at 284.55KiB/s ETA 10:52
[download]   2.1% of 184.23MiB at 330.11KiB/s ETA 09:19
[download]   2.4% of 184.23MiB at 361.77KiB/s ETA 08:28
[download]   2.9% of 184.23MiB at 403.30KiB/s ETA 07:34
[download]   3.5% of 184.23MiB at 454.18KiB/s ETA 06:40
[download]   4.1% of 184.23MiB at 498.62KiB/s ETA 06:02
[download]   4.7% of 184.23MiB at 535.05KiB/s ETA 05:36
[download]   5.3% of 184.23MiB at 560.62KiB/s ETA 05:18
[download]   5.7% of 184.23MiB at 567.12KiB/s ETA 05:13
[download]   6.1% of 184.23MiB at 582.82KiB/s ETA 05:04
[download]   6.7% of 184.23MiB at 603.18KiB/s ETA 04:51
[download]   7.2% of 184.23MiB at 621.76KiB/s ETA 04:41
[download]   7.7% of 184.23MiB at 644.13KiB/s ETA 04:30
[download]   8.4% of 184.23MiB at 662.84KiB/s ETA 04:20
[download]   8.9% of 184.23MiB at 675.65KiB/s ETA 04:14
[download]   9.4% of 184.23MiB at 682.39KiB/s ETA 04:10
[download]   9.8% of 184.23MiB at 689.76KiB/s ETA 04:06
[download]  10.3% of 184.23MiB at 692.82KiB/s ETA 04:04
[download]  10.7% of 184.23MiB at 704.88KiB/s ETA 03:58
[download]  11.4% of 184.23MiB at 720.04KiB/s ETA 03:52
[download]  12.0% of 184.23MiB at 732.46KiB/s ETA 03:46
[download]  12.6% of 184.23MiB at 745.33KiB/s ETA 03:41
[download]  13.2% of 184.23MiB at 763.09KiB/s ETA 03:34
[download]  14.0% of 184.23MiB at 786.11KiB/s ETA 03:26
[download]  14.8% of 184.23MiB at 802.65KiB/s ETA 03:20
[download]  15.5% of 184.23MiB at 813.82KiB/s ETA 03:15
[download]  16.1% of 184.23MiB at 814.68KiB/s ETA 03:14
[download]  16.5% of 184.23MiB at 814.57KiB/s ETA 03:13
[download]  17.0% of 184.23MiB at 806.42KiB/s ETA 03:14
[download]  17.3% of 184.23MiB at 802.93KiB/s ETA 03:14
[download]  17.6% of 184.23MiB at 794.30KiB/s ETA 03:15
[download]  17.9% of 184.23MiB at 780.47KiB/s ETA 03:18
[download]  18.1% of 184.23MiB at 767.27KiB/s ETA 03:21
[download]  18.2% of 184.23MiB at 753.49KiB/s ETA 03:24
[download]  18.4% of 184.23MiB at 742.07KiB/s ETA 03:27
[download]  18.5% of 184.23MiB at 727.83KiB/s ETA 03:31
[download]  18.6% of 184.23MiB at 715.58KiB/s ETA 03:34
[download]  18.7% of 184.23MiB at 707.35KiB/s ETA 03:36
[download]  18.8% of 184.23MiB at 703.95KiB/s ETA 03:37
