216.128.135.247
storage is already mounted
Directory is already present
[youtube] wcmfXLFp8SE: Downloading webpage
[youtube] Downloading just video wcmfXLFp8SE because of --no-playlist
[youtube] wcmfXLFp8SE: Downloading MPD manifest
[download] Destination: الخلافة الراشدة مع فضيلة الشيخ _ د.محمد العبدة ،، الحلقة  - الخامسة عشر-wcmfXLFp8SE.mp4

[download]   0.0% of 196.26MiB at  851.92B/s ETA 67:06:15
[download]   0.0% of 196.26MiB at  1.52KiB/s ETA 36:39:22
[download]   0.0% of 196.26MiB at  2.91KiB/s ETA 19:12:56
[download]   0.0% of 196.26MiB at  5.67KiB/s ETA 09:51:08
[download]   0.0% of 196.26MiB at 11.17KiB/s ETA 04:59:50
[download]   0.0% of 196.26MiB at 22.19KiB/s ETA 02:30:56
[download]   0.0% of 196.26MiB at 44.19KiB/s ETA 01:15:46
[download]   0.1% of 196.26MiB at 88.13KiB/s ETA 37:59
[download]   0.1% of 196.26MiB at 175.46KiB/s ETA 19:04
[download]   0.2% of 196.26MiB at 349.39KiB/s ETA 09:34
[download]   0.4% of 196.26MiB at 573.05KiB/s ETA 05:49
[download]   0.8% of 196.26MiB at  1.11MiB/s ETA 02:55
[download]   1.7% of 196.26MiB at  1.71MiB/s ETA 01:52
[download]   3.4% of 196.26MiB at  1.20MiB/s ETA 02:37
[download]   4.2% of 196.26MiB at  1.15MiB/s ETA 02:43
[download]   4.7% of 196.26MiB at  1.10MiB/s ETA 02:49
[download]   5.1% of 196.26MiB at  1.01MiB/s ETA 03:04
[download]   5.4% of 196.26MiB at  1.02MiB/s ETA 03:02
[download]   5.9% of 196.26MiB at 970.24KiB/s ETA 03:14
[download]   6.2% of 196.26MiB at 936.39KiB/s ETA 03:21
[download]   6.5% of 196.26MiB at 914.26KiB/s ETA 03:25
[download]   6.8% of 196.26MiB at 861.32KiB/s ETA 03:37
[download]   7.0% of 196.26MiB at 840.40KiB/s ETA 03:42
[download]   7.2% of 196.26MiB at 798.05KiB/s ETA 03:53
[download]   7.3% of 196.26MiB at 770.80KiB/s ETA 04:01
[download]   7.5% of 196.26MiB at 734.11KiB/s ETA 04:13
[download]   7.6% of 196.26MiB at 700.38KiB/s ETA 04:25
[download]   7.7% of 196.26MiB at 675.54KiB/s ETA 04:34
[download]   7.8% of 196.26MiB at 658.15KiB/s ETA 04:41
[download]   7.9% of 196.26MiB at 634.95KiB/s ETA 04:51
[download]   7.9% of 196.26MiB at 612.37KiB/s ETA 05:02
[download]   8.0% of 196.26MiB at 591.00KiB/s ETA 05:12
[download]   8.1% of 196.26MiB at 573.36KiB/s ETA 05:22
[download]   8.1% of 196.26MiB at 556.82KiB/s ETA 05:31
[download]   8.2% of 196.26MiB at 537.91KiB/s ETA 05:43
[download]   8.2% of 196.26MiB at 515.62KiB/s ETA 05:57
[download]   8.2% of 196.26MiB at 510.04KiB/s ETA 06:01
[download]   8.3% of 196.26MiB at 488.16KiB/s ETA 06:17
[download]   8.3% of 196.26MiB at 485.36KiB/s ETA 06:19
[download]   8.4% of 196.26MiB at 471.86KiB/s ETA 06:30
[download]   8.5% of 196.26MiB at 465.69KiB/s ETA 06:35
[download]   8.5% of 196.26MiB at 453.55KiB/s ETA 06:45
[download]   8.6% of 196.26MiB at 445.38KiB/s ETA 06:52
[download]   8.7% of 196.26MiB at 433.90KiB/s ETA 07:03
[download]   8.7% of 196.26MiB at 428.86KiB/s ETA 07:07
[download]   8.8% of 196.26MiB at 416.47KiB/s ETA 07:20
[download]   8.8% of 196.26MiB at 409.10KiB/s ETA 07:27
[download]   8.9% of 196.26MiB at 399.98KiB/s ETA 07:37
[download]   8.9% of 196.26MiB at 393.83KiB/s ETA 07:44
[download]   8.9% of 196.26MiB at 387.14KiB/s ETA 07:52
[download]   9.0% of 196.26MiB at 381.82KiB/s ETA 07:59
[download]   9.0% of 196.26MiB at 377.78KiB/s ETA 08:03
[download]   9.1% of 196.26MiB at 369.32KiB/s ETA 08:14
[download]   9.1% of 196.26MiB at 365.70KiB/s ETA 08:19
[download]   9.2% of 196.26MiB at 357.39KiB/s ETA 08:30
[download]   9.2% of 196.26MiB at 353.02KiB/s ETA 08:36
[download]   9.3% of 196.26MiB at 348.56KiB/s ETA 08:43
[download]   9.3% of 196.26MiB at 343.20KiB/s ETA 08:50
[download]   9.4% of 196.26MiB at 340.00KiB/s ETA 08:55
[download]   9.4% of 196.26MiB at 338.60KiB/s ETA 08:57
[download]   9.5% of 196.26MiB at 330.49KiB/s ETA 09:10
[download]   9.6% of 196.26MiB at 325.17KiB/s ETA 09:18
[download]   9.6% of 196.26MiB at 320.98KiB/s ETA 09:25
[download]   9.7% of 196.26MiB at 317.34KiB/s ETA 09:32
[download]   9.7% of 196.26MiB at 310.49KiB/s ETA 09:44
[download]   9.7% of 196.26MiB at 307.53KiB/s ETA 09:49
[download]   9.8% of 196.26MiB at 303.99KiB/s ETA 09:56
[download]   9.8% of 196.26MiB at 302.05KiB/s ETA 10:00
[download]   9.8% of 196.26MiB at 300.41KiB/s ETA 10:03
[download]   9.9% of 196.26MiB at 296.05KiB/s ETA 10:11
[download]  10.0% of 196.26MiB at 294.72KiB/s ETA 10:13
[download]  10.1% of 196.26MiB at 292.50KiB/s ETA 10:18
[download]  10.1% of 196.26MiB at 289.78KiB/s ETA 10:23
[download]  10.2% of 196.26MiB at 285.77KiB/s ETA 10:31
[download]  10.2% of 196.26MiB at 283.62KiB/s ETA 10:36
[download]  10.3% of 196.26MiB at 280.79KiB/s ETA 10:42
[download]  10.3% of 196.26MiB at 277.23KiB/s ETA 10:50
[download]  10.4% of 196.26MiB at 275.42KiB/s ETA 10:54
[download]  10.4% of 196.26MiB at 271.85KiB/s ETA 11:02
[download]  10.5% of 196.26MiB at 270.01KiB/s ETA 11:06
[download]  10.5% of 196.26MiB at 267.37KiB/s ETA 11:12
[download]  10.5% of 196.26MiB at 266.32KiB/s ETA 11:15
[download]  10.6% of 196.26MiB at 263.41KiB/s ETA 11:22
[download]  10.7% of 196.26MiB at 262.12KiB/s ETA 11:25
[download]  10.7% of 196.26MiB at 259.60KiB/s ETA 11:31
[download]  10.8% of 196.26MiB at 258.40KiB/s ETA 11:34
[download]  10.8% of 196.26MiB at 256.66KiB/s ETA 11:38
[download]  10.9% of 196.26MiB at 253.78KiB/s ETA 11:45
[download]  10.9% of 196.26MiB at 251.98KiB/s ETA 11:50
[download]  11.0% of 196.26MiB at 250.08KiB/s ETA 11:55
[download]  11.0% of 196.26MiB at 248.31KiB/s ETA 12:00
[download]  11.1% of 196.26MiB at 242.19KiB/s ETA 12:18
[download]  11.1% of 196.26MiB at 241.23KiB/s ETA 12:20
[download]  11.1% of 196.26MiB at 239.66KiB/s ETA 12:25
[download]  11.2% of 196.26MiB at 238.29KiB/s ETA 12:29
[download]  11.2% of 196.26MiB at 237.35KiB/s ETA 12:31
[download]  11.3% of 196.26MiB at 236.60KiB/s ETA 12:33
[download]  11.4% of 196.26MiB at 234.72KiB/s ETA 12:39
[download]  11.4% of 196.26MiB at 233.84KiB/s ETA 12:41
[download]  11.5% of 196.26MiB at 232.21KiB/s ETA 12:46
[download]  11.5% of 196.26MiB at 230.84KiB/s ETA 12:50
[download]  11.6% of 196.26MiB at 229.37KiB/s ETA 12:54
[download]  11.6% of 196.26MiB at 227.81KiB/s ETA 12:59
[download]  11.7% of 196.26MiB at 226.56KiB/s ETA 13:03
[download]  11.7% of 196.26MiB at 225.39KiB/s ETA 13:07
[download]  11.8% of 196.26MiB at 223.63KiB/s ETA 13:13
[download]  11.8% of 196.26MiB at 222.53KiB/s ETA 13:16
[download]  11.8% of 196.26MiB at 221.51KiB/s ETA 13:19
[download]  11.9% of 196.26MiB at 220.50KiB/s ETA 13:23
