207.246.74.121
storage is already mounted
Directory is already present
[youtube] G6Trgby3pw4: Downloading webpage
[youtube] Downloading just video G6Trgby3pw4 because of --no-playlist
[youtube] G6Trgby3pw4: Downloading MPD manifest
[download] Destination: كيف أصبحت حلقة يوم الثلاثاء 25-04-2017م-G6Trgby3pw4.mp4

[download]   0.0% of 501.36MiB at  745.72B/s ETA --:--:--
[download]   0.0% of 501.36MiB at  1.26KiB/s ETA --:--:--
[download]   0.0% of 501.36MiB at  2.32KiB/s ETA 61:33:39
[download]   0.0% of 501.36MiB at  4.43KiB/s ETA 32:09:43
[download]   0.0% of 501.36MiB at  8.66KiB/s ETA 16:28:13
[download]   0.0% of 501.36MiB at 17.10KiB/s ETA 08:20:27
[download]   0.0% of 501.36MiB at 33.92KiB/s ETA 04:12:15
[download]   0.0% of 501.36MiB at 61.94KiB/s ETA 02:18:07
[download]   0.0% of 501.36MiB at 108.34KiB/s ETA 01:18:57
[download]   0.1% of 501.36MiB at 185.41KiB/s ETA 46:06
[download]   0.1% of 501.36MiB at 297.59KiB/s ETA 28:42
[download]   0.3% of 501.36MiB at 391.35KiB/s ETA 21:48
[download]   0.4% of 501.36MiB at 493.16KiB/s ETA 17:16
[download]   0.6% of 501.36MiB at 558.24KiB/s ETA 15:13
[download]   0.8% of 501.36MiB at 563.72KiB/s ETA 15:03
[download]   0.9% of 501.36MiB at 580.63KiB/s ETA 14:36
[download]   1.0% of 501.36MiB at 603.82KiB/s ETA 14:01
[download]   1.2% of 501.36MiB at 588.57KiB/s ETA 14:21
[download]   1.3% of 501.36MiB at 579.97KiB/s ETA 14:33
[download]   1.4% of 501.36MiB at 572.60KiB/s ETA 14:44
[download]   1.5% of 501.36MiB at 567.93KiB/s ETA 14:50
[download]   1.6% of 501.36MiB at 565.03KiB/s ETA 14:54
[download]   1.7% of 501.36MiB at 571.45KiB/s ETA 14:43
[download]   1.8% of 501.36MiB at 573.66KiB/s ETA 14:38
[download]   1.9% of 501.36MiB at 585.71KiB/s ETA 14:19
[download]   2.1% of 501.36MiB at 609.96KiB/s ETA 13:44
[download]   2.3% of 501.36MiB at 636.13KiB/s ETA 13:08
[download]   2.5% of 501.36MiB at 655.33KiB/s ETA 12:43
[download]   2.7% of 501.36MiB at 672.77KiB/s ETA 12:22
[download]   2.9% of 501.36MiB at 681.45KiB/s ETA 12:11
[download]   3.1% of 501.36MiB at 685.90KiB/s ETA 12:05
[download]   3.2% of 501.36MiB at 689.14KiB/s ETA 12:00
[download]   3.4% of 501.36MiB at 700.50KiB/s ETA 11:48
[download]   3.6% of 501.36MiB at 715.60KiB/s ETA 11:31
[download]   3.8% of 501.36MiB at 730.15KiB/s ETA 11:16
[download]   4.0% of 501.36MiB at 734.89KiB/s ETA 11:10
[download]   4.2% of 501.36MiB at 741.94KiB/s ETA 11:03
[download]   4.4% of 501.36MiB at 744.13KiB/s ETA 10:59
[download]   4.5% of 501.36MiB at 745.01KiB/s ETA 10:57
[download]   4.7% of 501.36MiB at 747.67KiB/s ETA 10:54
[download]   4.8% of 501.36MiB at 746.35KiB/s ETA 10:54
[download]   5.0% of 501.36MiB at 747.31KiB/s ETA 10:52
[download]   5.1% of 501.36MiB at 752.58KiB/s ETA 10:47
[download]   5.3% of 501.36MiB at 759.94KiB/s ETA 10:39
[download]   5.5% of 501.36MiB at 771.42KiB/s ETA 10:28
[download]   5.8% of 501.36MiB at 787.58KiB/s ETA 10:14
[download]   6.1% of 501.36MiB at 803.08KiB/s ETA 10:00
[download]   6.3% of 501.36MiB at 817.58KiB/s ETA 09:48
[download]   6.6% of 501.36MiB at 834.35KiB/s ETA 09:34
[download]   6.9% of 501.36MiB at 850.23KiB/s ETA 09:22
[download]   7.2% of 501.36MiB at 868.52KiB/s ETA 09:08
[download]   7.5% of 501.36MiB at 884.70KiB/s ETA 08:56
[download]   7.8% of 501.36MiB at 893.99KiB/s ETA 08:49
[download]   8.1% of 501.36MiB at 750.03KiB/s ETA 10:29
[download]   8.2% of 501.36MiB at 754.54KiB/s ETA 10:24
[download]   8.4% of 501.36MiB at 765.43KiB/s ETA 10:14
[download]   8.7% of 501.36MiB at 778.20KiB/s ETA 10:02
[download]   9.0% of 501.36MiB at 791.88KiB/s ETA 09:49
[download]   9.3% of 501.36MiB at 805.93KiB/s ETA 09:37
[download]   9.6% of 501.36MiB at 817.01KiB/s ETA 09:27
[download]   9.9% of 501.36MiB at 825.69KiB/s ETA 09:20
[download]  10.2% of 501.36MiB at 834.99KiB/s ETA 09:12
[download]  10.5% of 501.36MiB at 844.50KiB/s ETA 09:04
[download]  10.7% of 501.36MiB at 855.77KiB/s ETA 08:55
[download]  11.1% of 501.36MiB at 868.78KiB/s ETA 08:45
[download]  11.4% of 501.36MiB at 881.46KiB/s ETA 08:36
[download]  11.7% of 501.36MiB at 893.74KiB/s ETA 08:27
[download]  12.1% of 501.36MiB at 906.83KiB/s ETA 08:17
[download]  12.4% of 501.36MiB at 918.53KiB/s ETA 08:09
[download]  12.7% of 501.36MiB at 927.67KiB/s ETA 08:02
[download]  13.0% of 501.36MiB at 935.92KiB/s ETA 07:56
[download]  13.3% of 501.36MiB at 946.57KiB/s ETA 07:50
[download]  13.7% of 501.36MiB at 960.76KiB/s ETA 07:41
[download]  14.1% of 501.36MiB at 977.78KiB/s ETA 07:30
[download]  14.6% of 501.36MiB at 998.32KiB/s ETA 07:19
[download]  15.1% of 501.36MiB at 1018.06KiB/s ETA 07:08
[download]  15.6% of 501.36MiB at  1.01MiB/s ETA 06:57
[download]  16.1% of 501.36MiB at  1.03MiB/s ETA 06:46
[download]  16.6% of 501.36MiB at  1.05MiB/s ETA 06:38
[download]  17.0% of 501.36MiB at  1.06MiB/s ETA 06:31
[download]  17.4% of 501.36MiB at  1.07MiB/s ETA 06:26
[download]  17.8% of 501.36MiB at  1.08MiB/s ETA 06:22
[download]  18.1% of 501.36MiB at  1.08MiB/s ETA 06:18
[download]  18.4% of 501.36MiB at  1.09MiB/s ETA 06:15
[download]  18.7% of 501.36MiB at  1.10MiB/s ETA 06:10
[download]  19.1% of 501.36MiB at  1.11MiB/s ETA 06:06
[download]  19.5% of 501.36MiB at  1.11MiB/s ETA 06:02
[download]  19.8% of 501.36MiB at  1.12MiB/s ETA 05:58
[download]  20.2% of 501.36MiB at  1.13MiB/s ETA 05:55
[download]  20.5% of 501.36MiB at  1.13MiB/s ETA 05:53
[download]  20.7% of 501.36MiB at  1.13MiB/s ETA 05:51
[download]  21.0% of 501.36MiB at  1.14MiB/s ETA 05:48
[download]  21.4% of 501.36MiB at  1.14MiB/s ETA 05:45
[download]  21.7% of 501.36MiB at  1.15MiB/s ETA 05:42
[download]  22.0% of 501.36MiB at  1.15MiB/s ETA 05:39
[download]  22.4% of 501.36MiB at  1.16MiB/s ETA 05:36
[download]  22.6% of 501.36MiB at  1.16MiB/s ETA 05:34
[download]  22.9% of 501.36MiB at  1.16MiB/s ETA 05:32
